date,effort_catch
2021-12-31,344.2775
2022-01-31,388.87723
2022-02-28,424.6429
2022-03-31,455.4719
2022-04-30,413.4207
2022-05-31,344.24088
2022-06-30,292.35187
2022-07-31,270.83615
2022-08-31,265.50443
2022-09-30,278.6454
2022-10-31,294.9317
2022-11-30,319.58987
2022-12-31,347.93555
2023-01-31,376.8662
2023-02-28,414.15604
2023-03-31,445.02667
2023-04-30,410.83685
2023-05-31,344.85815
2023-06-30,299.91785
2023-07-31,271.07907
2023-08-31,264.48572
2023-09-30,275.00388
2023-10-31,293.94363
2023-11-30,325.964
2023-12-31,362.39188
2024-01-31,423.1292
2024-02-29,472.5541
2024-03-31,537.0802
2024-04-30,456.22968
2024-05-31,401.29944
2024-06-30,313.0595
2024-07-31,268.70358
2024-08-31,259.10126
2024-09-30,267.14722
2024-10-31,282.22577
2024-11-30,311.62527
2024-12-31,355.14764
2025-01-31,448.84756
2025-02-28,512.50433
2025-03-31,557.12384
2025-04-30,474.23236
2025-05-31,400.26654
2025-06-30,328.68823
2025-07-31,270.25354
2025-08-31,254.94147
2025-09-30,270.44916
2025-10-31,294.24762
2025-11-30,320.94928
2025-12-31,362.7828
2026-01-31,419.6397
2026-02-28,503.43588
2026-03-31,526.493
2026-04-30,408.96646
2026-05-31,338.5813
2026-06-30,286.15268
2026-07-31,262.88773
2026-08-31,260.6072
2026-09-30,269.417
2026-10-31,284.00858
2026-11-30,311.60083
2026-12-31,345.14417
2027-01-31,385.19397
2027-02-28,417.19754
2027-03-31,441.39505
2027-04-30,412.8561
2027-05-31,328.56033
2027-06-30,278.56653
2027-07-31,258.37918
2027-08-31,260.10074
2027-09-30,272.97424
2027-10-31,292.51105
2027-11-30,312.816
2027-12-31,336.9461
2028-01-31,374.52823
2028-02-29,370.13928
2028-03-31,399.9883
2028-04-30,377.0636
2028-05-31,327.02737
2028-06-30,290.91745
2028-07-31,259.29794
2028-08-31,257.23468
2028-09-30,270.93002
2028-10-31,297.27866
2028-11-30,315.81015
2028-12-31,340.85333
2029-01-31,377.04202
2029-02-28,394.0295
2029-03-31,435.7639
2029-04-30,425.08755
2029-05-31,362.6452
2029-06-30,311.59088
2029-07-31,268.31302
2029-08-31,266.1284
2029-09-30,278.54062
2029-10-31,294.36072
2029-11-30,320.23343
2029-12-31,349.63086
2030-01-31,386.5592
2030-02-28,442.8153
2030-03-31,445.61755
2030-04-30,402.49005
2030-05-31,342.60693
2030-06-30,298.67062
2030-07-31,268.14963
2030-08-31,261.01392
2030-09-30,269.5018
2030-10-31,285.7828
