date,effort_catch
2021-12-31,259.16327
2022-01-31,310.2711
2022-02-28,351.57776
2022-03-31,389.4207
2022-04-30,358.72757
2022-05-31,312.4362
2022-06-30,277.63843
2022-07-31,251.99643
2022-08-31,244.3023
2022-09-30,240.68243
2022-10-31,238.78964
2022-11-30,241.0346
2022-12-31,259.56546
2023-01-31,291.02664
2023-02-28,334.5437
2023-03-31,373.7711
2023-04-30,350.0445
2023-05-31,310.89047
2023-06-30,280.9946
2023-07-31,260.1278
2023-08-31,247.62305
2023-09-30,243.10297
2023-10-31,243.8468
2023-11-30,261.27463
2023-12-31,280.3776
2024-01-31,341.8773
2024-02-29,395.52423
2024-03-31,462.5705
2024-04-30,412.09933
2024-05-31,366.35297
2024-06-30,304.01868
2024-07-31,263.09848
2024-08-31,248.5227
2024-09-30,243.58075
2024-10-31,244.91489
2024-11-30,254.15665
2024-12-31,275.69025
2025-01-31,368.8347
2025-02-28,429.7754
2025-03-31,479.86404
2025-04-30,412.0535
2025-05-31,357.91995
2025-06-30,312.66995
2025-07-31,265.98624
2025-08-31,248.40582
2025-09-30,242.9813
2025-10-31,241.85147
2025-11-30,251.25293
2025-12-31,278.08313
2026-01-31,336.20596
2026-02-28,424.07278
2026-03-31,447.90805
2026-04-30,370.8386
2026-05-31,313.30203
2026-06-30,270.69492
2026-07-31,254.39145
2026-08-31,244.81454
2026-09-30,242.2432
2026-10-31,242.18088
2026-11-30,242.44467
2026-12-31,262.17087
2027-01-31,302.32916
2027-02-28,341.9517
2027-03-31,379.94186
2027-04-30,359.15314
2027-05-31,299.7655
2027-06-30,267.13623
2027-07-31,250.24857
2027-08-31,243.53168
2027-09-30,241.09644
2027-10-31,238.72983
2027-11-30,243.71994
2027-12-31,258.1899
2028-01-31,297.96426
2028-02-29,321.60095
2028-03-31,346.9242
2028-04-30,330.10028
2028-05-31,292.0946
2028-06-30,280.44543
2028-07-31,253.47897
2028-08-31,244.36484
2028-09-30,241.52704
2028-10-31,238.36957
2028-11-30,240.94717
2028-12-31,259.2288
2029-01-31,299.2968
2029-02-28,326.29053
2029-03-31,365.63535
2029-04-30,360.89816
2029-05-31,323.25125
2029-06-30,289.05698
2029-07-31,255.71799
2029-08-31,246.36353
2029-09-30,242.15018
2029-10-31,243.19867
2029-11-30,244.2313
2029-12-31,259.08047
2030-01-31,301.141
2030-02-28,368.35373
2030-03-31,385.56985
2030-04-30,355.44922
2030-05-31,314.76724
2030-06-30,283.7202
2030-07-31,255.65128
2030-08-31,246.35498
2030-09-30,243.11978
2030-10-31,240.91669
2030-11-30,245.17496
2030-12-31,270.25336
2031-01-31,312.98062
2031-02-28,374.2776
2031-03-31,426.46545
2031-04-30,370.2232
2031-05-31,318.95798
2031-06-30,279.75845
2031-07-31,253.50049
2031-08-31,243.96164
2031-09-30,240.60818
2031-10-31,237.81927
2031-11-30,238.61542
2031-12-31,254.47977
2032-01-31,293.44846
2032-02-29,329.6304
2032-03-31,384.0381
2032-04-30,351.9486
2032-05-31,300.0204
2032-06-30,269.7674
2032-07-31,249.27795
2032-08-31,242.51935
2032-09-30,239.89935
2032-10-31,236.88959
2032-11-30,235.91937
2032-12-31,245.65369
2033-01-31,278.58276
2033-02-28,312.29916
2033-03-31,311.5
2033-04-30,327.92618
2033-05-31,307.39056
2033-06-30,276.29688
2033-07-31,251.28442
2033-08-31,244.34775
2033-09-30,240.28363
2033-10-31,238.79605
2033-11-30,240.19086
2033-12-31,268.8803
2034-01-31,330.19415
2034-02-28,390.61536
