date,effort_catch
2021-12-31,156.80244
2022-01-31,234.29851
2022-02-28,301.74686
2022-03-31,354.8652
2022-04-30,336.36966
2022-05-31,304.25784
2022-06-30,270.5346
2022-07-31,245.58783
2022-08-31,247.27682
2022-09-30,267.08734
2022-10-31,268.7932
2022-11-30,206.46642
2022-12-31,141.73863
2023-01-31,181.6618
2023-02-28,263.5907
2023-03-31,330.76978
2023-04-30,320.4929
2023-05-31,301.58908
2023-06-30,273.90106
2023-07-31,250.56554
2023-08-31,243.09335
2023-09-30,254.48589
2023-10-31,249.41939
2023-11-30,220.49269
2023-12-31,184.75734
2024-01-31,268.36923
2024-02-29,344.09363
2024-03-31,412.34872
2024-04-30,393.1195
2024-05-31,357.3015
2024-06-30,302.45255
2024-07-31,252.82858
2024-08-31,239.78627
2024-09-30,249.95767
2024-10-31,251.31789
2024-11-30,231.7711
2024-12-31,189.53891
2025-01-31,306.4794
2025-02-28,369.26904
2025-03-31,423.4976
2025-04-30,380.82538
2025-05-31,345.3472
2025-06-30,310.4841
2025-07-31,256.14026
2025-08-31,237.10262
2025-09-30,253.40938
2025-10-31,253.96725
2025-11-30,210.32681
2025-12-31,171.32275
2026-01-31,253.55359
2026-02-28,369.7964
2026-03-31,394.2526
2026-04-30,359.93973
2026-05-31,308.09296
2026-06-30,262.6683
2026-07-31,243.74692
2026-08-31,243.12578
2026-09-30,256.2732
2026-10-31,257.9027
2026-11-30,227.16895
2026-12-31,166.57477
2027-01-31,208.78537
2027-02-28,284.97858
2027-03-31,350.81757
2027-04-30,337.74167
2027-05-31,291.9096
2027-06-30,258.47086
2027-07-31,239.61961
2027-08-31,245.67126
2027-09-30,265.3701
2027-10-31,272.8015
2027-11-30,223.40483
2027-12-31,181.71872
2028-01-31,224.74344
2028-02-29,303.0926
2028-03-31,325.7758
2028-04-30,313.5191
2028-05-31,280.95657
2028-06-30,274.09845
2028-07-31,241.6418
2028-08-31,241.30399
2028-09-30,261.5432
2028-10-31,268.5774
2028-11-30,218.37117
2028-12-31,171.23064
2029-01-31,222.72496
2029-02-28,282.13077
2029-03-31,323.6735
2029-04-30,327.68216
2029-05-31,311.6609
2029-06-30,282.1569
2029-07-31,246.49802
2029-08-31,244.77536
2029-09-30,258.4419
2029-10-31,250.39255
2029-11-30,203.95613
2029-12-31,130.59653
2030-01-31,196.95432
2030-02-28,318.62997
2030-03-31,357.9283
2030-04-30,339.64133
2030-05-31,308.62338
2030-06-30,277.47647
2030-07-31,246.40508
2030-08-31,241.7319
2030-09-30,252.5344
2030-10-31,262.89905
2030-11-30,224.96178
2030-12-31,202.0915
2031-01-31,236.09198
2031-02-28,334.56876
2031-03-31,388.2724
2031-04-30,347.08157
2031-05-31,313.9143
2031-06-30,273.32776
2031-07-31,240.11479
2031-08-31,245.0212
2031-09-30,269.56314
2031-10-31,286.2436
2031-11-30,228.9924
2031-12-31,174.52103
2032-01-31,238.07808
2032-02-29,284.29163
2032-03-31,353.7906
2032-04-30,340.16882
2032-05-31,292.13312
2032-06-30,261.58905
2032-07-31,241.333
2032-08-31,253.75494
2032-09-30,275.6002
2032-10-31,289.17242
2032-11-30,227.73453
2032-12-31,118.969925
2033-01-31,188.40158
2033-02-28,253.88799
2033-03-31,273.39474
2033-04-30,294.22293
2033-05-31,294.46185
2033-06-30,268.88065
2033-07-31,243.46176
2033-08-31,242.63634
2033-09-30,272.866
2033-10-31,274.25284
2033-11-30,202.21495
2033-12-31,150.53943
2034-01-31,233.8358
2034-02-28,337.89816
2034-03-31,386.59015
2034-04-30,332.6333
2034-05-31,307.47128
2034-06-30,275.20663
2034-07-31,243.24568
2034-08-31,248.9161
2034-09-30,260.71082
2034-10-31,248.63612
2034-11-30,213.20491
2034-12-31,216.05965
2035-01-31,255.11317
2035-02-28,350.78342
2035-03-31,397.5873
2035-04-30,348.6015
2035-05-31,298.9255
2035-06-30,271.94977
2035-07-31,243.75629
2035-08-31,243.38193
2035-09-30,262.44153
2035-10-31,252.25087
2035-11-30,229.98476
2035-12-31,195.99542
2036-01-31,226.83952
2036-02-29,277.00403
2036-03-31,354.02664
2036-04-30,341.31064
2036-05-31,319.73877
2036-06-30,277.21783
2036-07-31,245.70212
2036-08-31,243.59285
2036-09-30,275.15735
2036-10-31,273.29456
2036-11-30,213.60646
2036-12-31,161.23814
2037-01-31,203.9852
2037-02-28,287.78445
2037-03-31,360.73724
2037-04-30,325.7218
2037-05-31,290.49017
2037-06-30,258.5556
2037-07-31,242.5021
2037-08-31,246.38948
2037-09-30,262.52353
2037-10-31,265.9057
2037-11-30,231.28658
2037-12-31,190.76953
2038-01-31,198.69012
2038-02-28,263.66324
2038-03-31,326.39908
2038-04-30,331.17728
2038-05-31,308.48364
2038-06-30,269.99567
2038-07-31,242.63496
2038-08-31,247.17615
2038-09-30,259.99152
2038-10-31,280.8172
2038-11-30,227.5595
2038-12-31,173.70222
2039-01-31,188.96967
2039-02-28,273.86087
2039-03-31,307.30423
2039-04-30,322.0173
2039-05-31,288.02893
2039-06-30,258.10526
2039-07-31,241.50069
2039-08-31,248.58827
2039-09-30,273.70706
2039-10-31,270.36304
2039-11-30,236.27698
2039-12-31,187.49281
2040-01-31,244.7327
2040-02-29,315.24823
2040-03-31,328.08148
2040-04-30,308.10184
2040-05-31,294.0806
2040-06-30,264.01697
2040-07-31,238.3079
2040-08-31,247.69987
2040-09-30,265.9492
2040-10-31,274.62958
2040-11-30,226.0177
2040-12-31,175.7359
2041-01-31,244.70445
2041-02-28,307.48425
2041-03-31,340.58243
2041-04-30,327.1819
2041-05-31,301.74066
2041-06-30,263.96927
2041-07-31,242.73753
2041-08-31,244.4554
2041-09-30,265.97394
2041-10-31,274.64172
2041-11-30,242.03316
2041-12-31,194.48555
2042-01-31,215.87277
2042-02-28,255.84013
2042-03-31,311.20483
2042-04-30,289.12286
2042-05-31,259.5921
2042-06-30,250.8859
2042-07-31,243.3507
2042-08-31,253.11829
2042-09-30,284.00394
2042-10-31,299.03458
2042-11-30,257.7223
2042-12-31,181.19896
2043-01-31,184.37517
2043-02-28,254.5721
2043-03-31,291.31366
2043-04-30,288.513
2043-05-31,278.7968
2043-06-30,257.80777
2043-07-31,239.15744
2043-08-31,252.39304
2043-09-30,281.45847
2043-10-31,289.65286
2043-11-30,255.12483
2043-12-31,181.24939
2044-01-31,193.51912
2044-02-29,257.90707
2044-03-31,324.037
2044-04-30,285.46338
2044-05-31,269.43512
2044-06-30,251.06645
2044-07-31,246.21455
2044-08-31,269.0663
2044-09-30,308.42078
2044-10-31,314.98087
2044-11-30,240.03644
2044-12-31,141.55896
