date,effort_catch
2021-12-31,2.6545646e-07
2022-01-31,2.8159286e-07
2022-02-28,3.0122098e-07
2022-03-31,3.1997916e-07
2022-04-30,3.148005e-07
2022-05-31,3.0668545e-07
2022-06-30,2.9767514e-07
2022-07-31,2.8779746e-07
2022-08-31,2.8894985e-07
2022-09-30,2.9195095e-07
2022-10-31,2.8968003e-07
2022-11-30,2.7635812e-07
2022-12-31,2.6354417e-07
2023-01-31,2.7007297e-07
2023-02-28,2.8993406e-07
2023-03-31,3.109388e-07
2023-04-30,3.0824083e-07
2023-05-31,3.0525385e-07
2023-06-30,2.979329e-07
2023-07-31,2.9147495e-07
2023-08-31,2.879817e-07
2023-09-30,2.8836115e-07
2023-10-31,2.8341535e-07
2023-11-30,2.756313e-07
2023-12-31,2.6989514e-07
2024-01-31,2.9148913e-07
2024-02-29,3.151047e-07
2024-03-31,3.3995582e-07
2024-04-30,3.3813535e-07
2024-05-31,3.2598234e-07
2024-06-30,3.1038817e-07
2024-07-31,2.9366277e-07
2024-08-31,2.886828e-07
2024-09-30,2.8937862e-07
2024-10-31,2.8564452e-07
2024-11-30,2.7811794e-07
2024-12-31,2.704359e-07
2025-01-31,3.0281933e-07
2025-02-28,3.2327839e-07
2025-03-31,3.438681e-07
2025-04-30,3.3004363e-07
2025-05-31,3.2012886e-07
2025-06-30,3.119769e-07
2025-07-31,2.9513623e-07
2025-08-31,2.8911512e-07
2025-09-30,2.8948014e-07
2025-10-31,2.8482813e-07
2025-11-30,2.7386346e-07
2025-12-31,2.6761595e-07
2026-01-31,2.8760113e-07
2026-02-28,3.2375954e-07
2026-03-31,3.324759e-07
2026-04-30,3.26401e-07
2026-05-31,3.093264e-07
2026-06-30,2.945957e-07
2026-07-31,2.8999256e-07
2026-08-31,2.892615e-07
2026-09-30,2.9110845e-07
2026-10-31,2.872975e-07
2026-11-30,2.7863783e-07
2026-12-31,2.666177e-07
2027-01-31,2.7576328e-07
2027-02-28,2.9597393e-07
2027-03-31,3.19127e-07
2027-04-30,3.1545514e-07
2027-05-31,3.025975e-07
2027-06-30,2.940999e-07
2027-07-31,2.8909756e-07
2027-08-31,2.9084185e-07
2027-09-30,2.9352324e-07
2027-10-31,2.911427e-07
2027-11-30,2.7752947e-07
2027-12-31,2.6891595e-07
2028-01-31,2.7867355e-07
2028-02-29,3.0340084e-07
2028-03-31,3.111217e-07
2028-04-30,3.0749035e-07
2028-05-31,2.9726405e-07
2028-06-30,2.999704e-07
2028-07-31,2.901199e-07
2028-08-31,2.9012668e-07
2028-09-30,2.9277604e-07
2028-10-31,2.8962728e-07
2028-11-30,2.7804262e-07
